File name	Location	Animal facilities	Dairy cattle and milk production	Dry Cow	Electricity, medium voltage, at grid/US WITH US ELECTRICITY U	Farm Fuel Use, IFSM	Heat, natural gas, at boiler modulating <100kW/RER WITH US ELECTRICITY U	Late Lactation Cow	Machinery	Mid Lactation Cow	Milking/CH WITH US ELECTRICITY U	Minerals Mixture	Older Heifer	Pesticide and other agricultural chemical manufacturing	Slurry spreading, by vacuum tanker/CH WITH US ELECTRICITY U	Transport, single unit truck, gasoline powered NREL /US	Young Heifer	Raw milk, at dairy farm/US IFSM	Total
WI Covered Tank	WI	0.025509	0.070802	0.178315	0.045148	0.018895	0.005332	0.168367	0.058078	0.150256	0.04182	0.007414	0.126318	0.674454	0.042696	0.005393	0.058082	1.676879	2.442047
WI DoubleCrop	WI	0.02555	0.070917	0.146021	0.047181	0.019341	0.00535	0.188034	0.058172	0.160253	0.041883	0.007426	0.102444	0.675574	0.042764	0.005402	0.048284	1.644598	2.631437
WI Feed Eff	WI	0.024028	0.066692	0.169403	0.045074	0.01784	0.005401	0.163486	0.054706	0.148703	0.042355	0.006984	0.12004	0.635302	0.040218	0.00508	0.056165	1.601476	2.398277
WI Flare	WI	0.025509	0.070802	0.178273	0.045133	0.018895	0.005332	0.168041	0.058078	0.15031	0.04182	0.007414	0.12622	0.674454	0.042696	0.005393	0.058005	1.676374	2.390981
WI Incorp	WI	0.025509	0.070802	0.178281	0.045086	0.018894	0.005332	0.168273	0.058078	0.151916	0.04182	0.007414	0.126233	0.674454	0.042696	0.005393	0.05794	1.678121	2.515882
WI L baseline	WI	0.00271	0.074901	0.113873	0.039419	0.029707	0.005335	0.156239	0.006171	0.127923	0.04177	0.000788	0.083748	0.071962	0.004536	0.000573	0.038045	0.797698	1.192348
WI Low Protein	WI	0.025509	0.070802	0.174485	0.045209	0.018776	0.005332	0.163467	0.058077	0.146267	0.041819	0.007414	0.123836	0.674449	0.042697	0.005393	0.057169	1.660702	2.486216
WI NDF dig	WI	0.024517	0.068047	0.171991	0.045071	0.018291	0.005378	0.161966	0.055818	0.147044	0.04218	0.007126	0.121727	0.648212	0.041035	0.005183	0.05605	1.619636	2.43164
WI NoTill Inj	WI	0.025509	0.070802	0.178186	0.04495	0.020557	0.005333	0.166894	0.058079	0.150345	0.041818	0.007414	0.12599	0.674481	0.042696	0.005393	0.057637	1.676084	2.50607
WI No Till	WI	0.025509	0.070802	0.178088	0.045133	0.018891	0.005332	0.168237	0.058078	0.149482	0.04182	0.007414	0.125778	0.674454	0.042696	0.005393	0.057921	1.675029	2.518652
WI Scenario1	WI	0.022709	0.06303	0.126329	0.045551	0.014391	0.00546	0.126015	0.051702	0.10795	0.042818	0.0066	0.09549	0.600412	0.038009	0.004801	0.04576	1.397026	2.108856
WI Scenario2	WI	0.022709	0.06303	0.154331	0.045479	0.016638	0.00546	0.145037	0.051702	0.127651	0.042818	0.0066	0.113425	0.600414	0.038009	0.004801	0.053858	1.491962	2.210199
WI Scenario3	WI	0.022709	0.06303	0.151783	0.045231	0.017313	0.00546	0.146098	0.051702	0.131393	0.042818	0.0066	0.108329	0.600412	0.038009	0.004801	0.051494	1.487181	2.195773
WI Summer Appl	WI	0.025509	0.070802	0.17816	0.045129	0.018894	0.005332	0.167175	0.058078	0.15019	0.04182	0.007414	0.125921	0.674454	0.042696	0.005393	0.057799	1.674765	2.480525
